file,missingness_pct,max_gap_hours
site_5460_B_R_Ambedkar_University_Lucknow_UPPCB_CO.csv,0.2395,18
site_5465_Sector-3B_Avas_Vikas_Colony_Agra_UPPCB_CO.csv,0.403,15
site_5464_Manoharpur_Agra_UPPCB_CO.csv,0.517,19
site_5468_IESD_Banaras_Hindu_University_Varanasi_UPPCB_CO.csv,0.5284,33
site_5465_Sector-3B_Avas_Vikas_Colony_Agra_UPPCB_SO2.csv,0.6197,49
site_5460_B_R_Ambedkar_University_Lucknow_UPPCB_SO2.csv,0.6729,64
site_5262_Rajbansi_Nagar_Patna_BSPCB_CO.csv,0.6767,48
site_5460_B_R_Ambedkar_University_Lucknow_UPPCB_NO2.csv,0.6805,41
site_5464_Manoharpur_Agra_UPPCB_NO2.csv,0.7337,24
site_1437_Model_Town_Patiala_PPCB_CO.csv,0.8212,25
site_115_NSIT_Dwarka_Delhi_CPCB_Ozone.csv,0.8554,23
site_5463_Shastripuram_Agra_UPPCB_CO.csv,0.8668,22
site_5472_Madan_Mohan_Malaviya_University_of_Technology_Gorakhpur_UPPCB_CO.csv,0.92,27
site_115_NSIT_Dwarka_Delhi_CPCB_CO.csv,0.9238,23
site_5262_Rajbansi_Nagar_Patna_BSPCB_NO2.csv,0.9238,50
site_115_NSIT_Dwarka_Delhi_CPCB_NO2.csv,0.9352,23
site_5463_Shastripuram_Agra_UPPCB_SO2.csv,0.958,22
site_5484_Nagar_Nigam_Prayagraj_UPPCB_CO.csv,0.9732,47
site_5370_Buddha_Colony_Muzaffarpur_BSPCB_CO.csv,1.0075,25
site_253_Punjab_Agricultural_University_Ludhiana_PPCB_Ozone.csv,1.0151,15
site_5468_IESD_Banaras_Hindu_University_Varanasi_UPPCB_SO2.csv,1.0189,43
site_5472_Madan_Mohan_Malaviya_University_of_Technology_Gorakhpur_UPPCB_SO2.csv,1.0455,27
site_5484_Nagar_Nigam_Prayagraj_UPPCB_NO2.csv,1.0531,47
site_5459_Motilal_Nehru_NIT_Prayagraj_UPPCB_CO.csv,1.0797,28
site_1437_Model_Town_Patiala_PPCB_Ozone.csv,1.0835,26
site_5484_Nagar_Nigam_Prayagraj_UPPCB_Ozone.csv,1.1025,47
site_1437_Model_Town_Patiala_PPCB_NO2.csv,1.1063,26
site_5262_Rajbansi_Nagar_Patna_BSPCB_Ozone.csv,1.1291,50
site_1437_Model_Town_Patiala_PPCB_PM10.csv,1.2736,26
site_5459_Motilal_Nehru_NIT_Prayagraj_UPPCB_NO2.csv,1.2736,28
site_253_Punjab_Agricultural_University_Ludhiana_PPCB_CO.csv,1.2812,15
site_5465_Sector-3B_Avas_Vikas_Colony_Agra_UPPCB_NO2.csv,1.2926,65
site_1438_Civil_Line_Jalandhar_PPCB_CO.csv,1.3496,23
site_1438_Civil_Line_Jalandhar_PPCB_SO2.csv,1.3724,23
site_5555_Jigar_Colony_Moradabad_UPPCB_CO.csv,1.3876,15
site_115_NSIT_Dwarka_Delhi_CPCB_SO2.csv,1.4332,23
site_1437_Model_Town_Patiala_PPCB_PM2.5.csv,1.4408,26
site_5262_Rajbansi_Nagar_Patna_BSPCB_SO2.csv,1.4523,50
site_1396_Shastri_Nagar_Jaipur_RSPCB_Ozone.csv,1.4827,15
site_5464_Manoharpur_Agra_UPPCB_SO2.csv,1.4979,54
site_5463_Shastripuram_Agra_UPPCB_NO2.csv,1.5131,65
site_5472_Madan_Mohan_Malaviya_University_of_Technology_Gorakhpur_UPPCB_Ozone.csv,1.5435,27
site_1437_Model_Town_Patiala_PPCB_SO2.csv,1.5701,26
site_1438_Civil_Line_Jalandhar_PPCB_NO2.csv,1.6043,23
site_1542_Yamunapuram_Bulandshahr_UPPCB_PM10.csv,1.6271,17
site_5459_Motilal_Nehru_NIT_Prayagraj_UPPCB_SO2.csv,1.6385,56
site_5620_Kashiram_Nagar_Moradabad_UPPCB_CO.csv,1.6385,60
site_5474_NSI_Kalyanpur_Kanpur_UPPCB_CO.csv,1.6804,37
site_253_Punjab_Agricultural_University_Ludhiana_PPCB_PM2.5.csv,1.7146,15
site_1396_Shastri_Nagar_Jaipur_RSPCB_CO.csv,1.745,14
site_5121_Knowledge_Park_V_Greater_Noida_UPPCB_PM10.csv,1.745,72
site_1393_Adarsh_Nagar_Jaipur_RSPCB_Ozone.csv,1.8628,28
site_1392_Civil_Lines__Ajmer_RSPCB_CO.csv,1.8742,32
site_5474_NSI_Kalyanpur_Kanpur_UPPCB_SO2.csv,1.8856,37
site_252_Plammoodu_Thiruvananthapuram_Kerala_PCB_CO.csv,1.8894,70
site_5554_Buddhi_Vihar_Moradabad_UPPCB_CO.csv,1.9123,21
site_5480_Nagla_Bhau_Firozabad_UPPCB_CO.csv,1.9237,58
site_303_Opp_GPO_Civil_Lines_Nagpur_MPCB_Ozone.csv,1.9237,18
site_5555_Jigar_Colony_Moradabad_UPPCB_NO2.csv,1.9351,15
site_294_Sanathnagar_Hyderabad_TSPCB_CO.csv,1.9883,35
site_1397_Ashok_Nagar_Udaipur_RSPCB_Ozone.csv,1.9883,23
site_1393_Adarsh_Nagar_Jaipur_RSPCB_CO.csv,2.0263,28
site_1397_Ashok_Nagar_Udaipur_RSPCB_CO.csv,2.0339,23
site_303_Opp_GPO_Civil_Lines_Nagpur_MPCB_CO.csv,2.0377,18
site_5555_Jigar_Colony_Moradabad_UPPCB_SO2.csv,2.0415,15
site_1542_Yamunapuram_Bulandshahr_UPPCB_PM2.5.csv,2.0491,18
site_1438_Civil_Line_Jalandhar_PPCB_PM10.csv,2.0529,23
site_5613_Transport_Nagar_Moradabad_UPPCB_CO.csv,2.0567,28
site_1438_Civil_Line_Jalandhar_PPCB_PM2.5.csv,2.0757,23
site_1392_Civil_Lines__Ajmer_RSPCB_Ozone.csv,2.0947,32
site_5620_Kashiram_Nagar_Moradabad_UPPCB_NO2.csv,2.1214,60
site_5121_Knowledge_Park_V_Greater_Noida_UPPCB_PM2.5.csv,2.1404,72
site_5462_Kukrail_Picnic_Spot-1_Lucknow_UPPCB_CO.csv,2.1442,35
site_5500_FTI_Kidwai_Nagar_Kanpur_UPPCB_CO.csv,2.186,46
site_1390_Moti_Doongri_Alwar_RSPCB_Ozone.csv,2.2202,25
site_253_Punjab_Agricultural_University_Ludhiana_PPCB_SO2.csv,2.2278,15
site_1392_Civil_Lines__Ajmer_RSPCB_NO2.csv,2.2468,32
site_118_DTU_Delhi_CPCB_CO.csv,2.2696,53
site_1397_Ashok_Nagar_Udaipur_RSPCB_PM2.5.csv,2.281,23
site_5122_Sector-116_Noida_UPPCB_PM10.csv,2.2962,43
site_252_Plammoodu_Thiruvananthapuram_Kerala_PCB_SO2.csv,2.3114,70
site_5613_Transport_Nagar_Moradabad_UPPCB_SO2.csv,2.3533,29
site_5601_Rajendra_Nagar_Bareilly_UPPCB_CO.csv,2.3685,46
site_5474_NSI_Kalyanpur_Kanpur_UPPCB_NO2.csv,2.3875,39
site_5082_Indirapuram_Ghaziabad_UPPCB_PM10.csv,2.3951,67
site_5462_Kukrail_Picnic_Spot-1_Lucknow_UPPCB_NO2.csv,2.4635,35
site_5262_Rajbansi_Nagar_Patna_BSPCB_PM2.5.csv,2.5015,50
site_1438_Civil_Line_Jalandhar_PPCB_Ozone.csv,2.5015,22
site_5537_Employment_Office_Moradabad_UPPCB_CO.csv,2.5319,61
site_1542_Yamunapuram_Bulandshahr_UPPCB_Ozone.csv,2.5433,18
site_5500_FTI_Kidwai_Nagar_Kanpur_UPPCB_NO2.csv,2.5433,46
site_5480_Nagla_Bhau_Firozabad_UPPCB_SO2.csv,2.5509,58
site_5367_Meelavittan_Thoothukudi_TNPCB_PM10.csv,2.5547,72
site_5583_Shivaji_Nagar_Jhansi_UPPCB_CO.csv,2.5776,27
site_5081_Sanjay_Nagar_Ghaziabad_UPPCB_NO2.csv,2.589,45
site_1390_Moti_Doongri_Alwar_RSPCB_PM2.5.csv,2.6004,25
site_5613_Transport_Nagar_Moradabad_UPPCB_NO2.csv,2.608,34
site_5613_Transport_Nagar_Moradabad_UPPCB_Ozone.csv,2.6346,34
site_1390_Moti_Doongri_Alwar_RSPCB_PM10.csv,2.6346,25
site_5601_Rajendra_Nagar_Bareilly_UPPCB_SO2.csv,2.665,46
site_5367_Meelavittan_Thoothukudi_TNPCB_NO2.csv,2.6688,72
site_5462_Kukrail_Picnic_Spot-1_Lucknow_UPPCB_SO2.csv,2.6802,68
site_303_Opp_GPO_Civil_Lines_Nagpur_MPCB_SO2.csv,2.7068,18
site_5262_Rajbansi_Nagar_Patna_BSPCB_PM10.csv,2.7144,50
site_5601_Rajendra_Nagar_Bareilly_UPPCB_NO2.csv,2.7296,46
site_5583_Shivaji_Nagar_Jhansi_UPPCB_SO2.csv,2.741,27
site_118_DTU_Delhi_CPCB_Ozone.csv,2.7448,53
site_1393_Adarsh_Nagar_Jaipur_RSPCB_SO2.csv,2.7448,28
site_5475_Maldahiya_Varanasi_UPPCB_CO.csv,2.7562,47
site_5475_Maldahiya_Varanasi_UPPCB_SO2.csv,2.76,47
site_5500_FTI_Kidwai_Nagar_Kanpur_UPPCB_SO2.csv,2.8133,46
site_1397_Ashok_Nagar_Udaipur_RSPCB_PM10.csv,2.8513,57
site_5554_Buddhi_Vihar_Moradabad_UPPCB_NO2.csv,2.8627,23
site_1392_Civil_Lines__Ajmer_RSPCB_SO2.csv,2.8703,32
site_5480_Nagla_Bhau_Firozabad_UPPCB_NO2.csv,2.8703,58
site_252_Plammoodu_Thiruvananthapuram_Kerala_PCB_NO2.csv,2.8779,70
site_1450_Kalal_Majra_Khanna_PPCB_Ozone.csv,2.9349,44
site_5082_Indirapuram_Ghaziabad_UPPCB_PM2.5.csv,2.9349,44
site_252_Plammoodu_Thiruvananthapuram_Kerala_PCB_Ozone.csv,2.9501,70
site_5370_Buddha_Colony_Muzaffarpur_BSPCB_SO2.csv,2.9615,26
site_1396_Shastri_Nagar_Jaipur_RSPCB_NO2.csv,2.9691,14
site_136_Collectorate_Jodhpur_RSPCB_Ozone.csv,2.9729,71
site_253_Punjab_Agricultural_University_Ludhiana_PPCB_PM10.csv,2.9881,17
site_5337_Industrial_Area_Hajipur_BSPCB_CO.csv,2.9919,54
site_5484_Nagar_Nigam_Prayagraj_UPPCB_SO2.csv,3.0528,66
site_5554_Buddhi_Vihar_Moradabad_UPPCB_SO2.csv,3.0566,23
site_5370_Buddha_Colony_Muzaffarpur_BSPCB_PM10.csv,3.0604,25
site_5249_Marhatal_Jabalpur_MPPCB_NO2.csv,3.0756,48
site_303_Opp_GPO_Civil_Lines_Nagpur_MPCB_NO2.csv,3.087,52
site_303_Opp_GPO_Civil_Lines_Nagpur_MPCB_PM2.5.csv,3.0908,18
site_1390_Moti_Doongri_Alwar_RSPCB_CO.csv,3.0946,25
site_119_Sirifort_Delhi_CPCB_CO.csv,3.0984,64
site_5537_Employment_Office_Moradabad_UPPCB_SO2.csv,3.106,61
site_5537_Employment_Office_Moradabad_UPPCB_NO2.csv,3.1554,61
site_5370_Buddha_Colony_Muzaffarpur_BSPCB_PM2.5.csv,3.1592,25
site_5081_Sanjay_Nagar_Ghaziabad_UPPCB_SO2.csv,3.1706,42
site_5583_Shivaji_Nagar_Jhansi_UPPCB_NO2.csv,3.1744,27
site_303_Opp_GPO_Civil_Lines_Nagpur_MPCB_PM10.csv,3.1896,18
site_1450_Kalal_Majra_Khanna_PPCB_PM2.5.csv,3.201,44
site_1542_Yamunapuram_Bulandshahr_UPPCB_NO2.csv,3.2276,23
site_5249_Marhatal_Jabalpur_MPPCB_Ozone.csv,3.2276,48
site_5501_Shahjahan_Garden_Agra_UPPCB_CO.csv,3.2619,65
site_5554_Buddhi_Vihar_Moradabad_UPPCB_Ozone.csv,3.3037,49
site_1393_Adarsh_Nagar_Jaipur_RSPCB_NO2.csv,3.3037,33
site_5537_Employment_Office_Moradabad_UPPCB_Ozone.csv,3.3911,61
site_5500_FTI_Kidwai_Nagar_Kanpur_UPPCB_Ozone.csv,3.471,46
site_1450_Kalal_Majra_Khanna_PPCB_CO.csv,3.471,45
site_105_North_Campus_DU_Delhi_IMD_CO.csv,3.4786,64
site_5249_Marhatal_Jabalpur_MPPCB_SO2.csv,3.4824,66
site_5482_Rohta_Agra_UPPCB_CO.csv,3.509,52
site_5121_Knowledge_Park_V_Greater_Noida_UPPCB_Ozone.csv,3.509,72
site_1450_Kalal_Majra_Khanna_PPCB_PM10.csv,3.5128,44
site_108_Aya_Nagar_Delhi_IMD_CO.csv,3.5622,58
site_5081_Sanjay_Nagar_Ghaziabad_UPPCB_PM2.5.csv,3.5622,47
site_1390_Moti_Doongri_Alwar_RSPCB_NO2.csv,3.566,25
site_1396_Shastri_Nagar_Jaipur_RSPCB_PM2.5.csv,3.6306,19
site_5249_Marhatal_Jabalpur_MPPCB_PM10.csv,3.6724,47
site_5501_Shahjahan_Garden_Agra_UPPCB_NO2.csv,3.6915,65
site_5370_Buddha_Colony_Muzaffarpur_BSPCB_Ozone.csv,3.6953,34
site_1396_Shastri_Nagar_Jaipur_RSPCB_PM10.csv,3.6991,19
site_105_North_Campus_DU_Delhi_IMD_PM10.csv,3.7219,64
site_5249_Marhatal_Jabalpur_MPPCB_PM2.5.csv,3.7371,47
site_1450_Kalal_Majra_Khanna_PPCB_NO2.csv,3.7637,45
site_1396_Shastri_Nagar_Jaipur_RSPCB_SO2.csv,3.7713,15
site_5066_Sector-10_Gandhinagar_GPCB_PM2.5.csv,3.7751,49
site_108_Aya_Nagar_Delhi_IMD_NO2.csv,3.8549,58
site_1450_Kalal_Majra_Khanna_PPCB_SO2.csv,3.8701,44
site_1393_Adarsh_Nagar_Jaipur_RSPCB_PM2.5.csv,3.8739,28
site_5370_Buddha_Colony_Muzaffarpur_BSPCB_NO2.csv,3.8967,26
site_119_Sirifort_Delhi_CPCB_PM10.csv,3.969,63
site_5337_Industrial_Area_Hajipur_BSPCB_SO2.csv,3.9728,54
site_5465_Sector-3B_Avas_Vikas_Colony_Agra_UPPCB_PM10.csv,4.0108,72
site_5081_Sanjay_Nagar_Ghaziabad_UPPCB_PM10.csv,4.0146,69
site_105_North_Campus_DU_Delhi_IMD_PM2.5.csv,4.0184,64
site_1397_Ashok_Nagar_Udaipur_RSPCB_NO2.csv,4.0222,23
site_5474_NSI_Kalyanpur_Kanpur_UPPCB_PM10.csv,4.0678,45
site_5337_Industrial_Area_Hajipur_BSPCB_Ozone.csv,4.0868,54
site_119_Sirifort_Delhi_CPCB_Ozone.csv,4.1286,65
site_1393_Adarsh_Nagar_Jaipur_RSPCB_PM10.csv,4.1477,28
site_5474_NSI_Kalyanpur_Kanpur_UPPCB_PM2.5.csv,4.2123,45
site_108_Aya_Nagar_Delhi_IMD_PM10.csv,4.2237,58
site_115_NSIT_Dwarka_Delhi_CPCB_PM2.5.csv,4.2807,25
site_5468_IESD_Banaras_Hindu_University_Varanasi_UPPCB_PM10.csv,4.3415,60
site_144_Vasundhara_Ghaziabad_UPPCB_PM10.csv,4.3796,63
site_294_Sanathnagar_Hyderabad_TSPCB_SO2.csv,4.3872,71
site_294_Sanathnagar_Hyderabad_TSPCB_Ozone.csv,4.3872,65
site_105_North_Campus_DU_Delhi_IMD_Ozone.csv,4.4138,64
site_144_Vasundhara_Ghaziabad_UPPCB_NO2.csv,4.4404,63
site_5459_Motilal_Nehru_NIT_Prayagraj_UPPCB_Ozone.csv,4.4632,44
site_5337_Industrial_Area_Hajipur_BSPCB_NO2.csv,4.5088,54
site_5337_Industrial_Area_Hajipur_BSPCB_PM10.csv,4.5126,54
site_5474_NSI_Kalyanpur_Kanpur_UPPCB_Ozone.csv,4.5468,45
site_1397_Ashok_Nagar_Udaipur_RSPCB_SO2.csv,4.5544,55
site_5081_Sanjay_Nagar_Ghaziabad_UPPCB_Ozone.csv,4.6457,41
site_5337_Industrial_Area_Hajipur_BSPCB_PM2.5.csv,4.7179,54
site_5023_Anand_Vihar_Hapur_UPPCB_PM2.5.csv,4.7673,37
site_5480_Nagla_Bhau_Firozabad_UPPCB_Ozone.csv,4.7673,66
site_115_NSIT_Dwarka_Delhi_CPCB_PM10.csv,4.7749,57
site_5482_Rohta_Agra_UPPCB_SO2.csv,4.7825,52
site_5547_SDM_Office_Khagra_Kishanganj_BSPCB_Ozone.csv,4.832,51
site_136_Collectorate_Jodhpur_RSPCB_SO2.csv,4.8396,71
site_1391_RIICO_Ind._Area_III_Bhiwadi_RSPCB_Ozone.csv,4.87,38
