file,missingness_pct,max_gap_hours
site_42_3_3007_PM2.5.csv,0.0912,5
site_17_31_119_PM2.5.csv,0.1559,1
site_32_3_73_PM2.5.csv,0.1939,3
site_49_35_3015_PM2.5.csv,0.1939,5
site_49_35_3006_PM2.5.csv,0.2091,11
site_55_43_9_PM2.5.csv,0.2091,3
site_49_35_4002_PM2.5.csv,0.2167,3
site_25_5_1004_PM2.5.csv,0.2243,7
site_6_65_8001_CO.csv,0.2243,6
site_39_61_14_PM2.5.csv,0.2471,13
site_55_9_5_PM2.5.csv,0.2471,3
site_17_197_1011_PM2.5.csv,0.2547,38
site_17_113_2003_PM2.5.csv,0.2585,2
site_25_21_2005_PM2.5.csv,0.2623,10
site_18_19_10_PM2.5.csv,0.2623,13
site_32_3_44_PM10.csv,0.2699,7
site_32_3_44_PM2.5.csv,0.2699,7
site_39_87_12_PM2.5.csv,0.2851,13
site_32_3_298_PM10.csv,0.2889,4
site_32_3_298_PM2.5.csv,0.2889,4
site_12_99_8_PM2.5.csv,0.2927,4
site_55_25_41_PM2.5.csv,0.2927,6
site_17_115_13_PM2.5.csv,0.3117,4
site_8_69_7_Ozone.csv,0.3117,9
site_55_89_9_PM2.5.csv,0.3231,21
site_55_25_47_PM2.5.csv,0.3269,23
site_55_27_1_PM10.csv,0.3269,6
site_55_27_1_PM2.5.csv,0.3269,6
site_55_25_47_PM10.csv,0.3269,23
site_1_73_1010_PM10.csv,0.3307,20
site_9_9_2123_PM2.5.csv,0.3345,12
site_55_79_10_PM2.5.csv,0.3345,3
site_32_3_71_PM10.csv,0.3384,6
site_32_3_71_PM2.5.csv,0.3384,6
site_18_89_36_PM2.5.csv,0.3536,19
site_6_111_1004_Ozone.csv,0.3536,34
site_32_3_43_PM2.5.csv,0.3574,5
site_32_3_43_PM10.csv,0.3574,5
site_42_101_48_PM2.5.csv,0.365,62
site_42_11_11_PM2.5.csv,0.365,26
site_49_13_2_PM2.5.csv,0.3688,24
site_55_35_14_PM10.csv,0.3688,23
site_6_53_8_Ozone.csv,0.3688,9
site_32_3_602_PM10.csv,0.3954,26
site_32_3_602_PM2.5.csv,0.3954,26
site_32_3_299_PM10.csv,0.3992,12
site_32_3_299_PM2.5.csv,0.3992,12
site_21_227_9_PM2.5.csv,0.4106,29
site_49_13_2_Ozone.csv,0.4334,24
site_42_3_2_PM2.5.csv,0.4334,43
site_32_3_2003_PM2.5.csv,0.441,17
site_25_17_10_PM2.5.csv,0.4448,28
site_32_3_2003_PM10.csv,0.4486,17
site_49_35_2005_PM2.5.csv,0.4638,23
site_32_3_561_PM10.csv,0.479,23
site_9_11_124_PM2.5.csv,0.479,18
site_17_161_3002_PM2.5.csv,0.4828,4
site_55_87_9_PM2.5.csv,0.4866,103
site_18_141_15_PM2.5.csv,0.4942,45
site_51_760_25_PM2.5.csv,0.498,68
site_39_61_42_PM2.5.csv,0.498,34
site_49_7_1003_PM2.5.csv,0.5094,20
site_49_35_3013_PM2.5.csv,0.517,17
site_12_113_15_Ozone.csv,0.5208,5
site_55_79_56_PM2.5.csv,0.5246,46
site_32_3_24_PM10.csv,0.5284,33
site_32_3_24_PM2.5.csv,0.5284,33
site_32_3_75_PM2.5.csv,0.5436,51
site_32_3_75_PM10.csv,0.5474,51
site_4_13_4005_Ozone.csv,0.5512,5
site_17_65_2_PM2.5.csv,0.5512,73
site_39_35_38_PM2.5.csv,0.555,26
site_4_13_7020_PM10.csv,0.5589,26
site_6_71_4003_Ozone.csv,0.5589,48
site_21_111_80_PM2.5.csv,0.5665,22
site_32_3_73_PM10.csv,0.5703,26
site_9_1_1123_PM2.5.csv,0.5741,28
site_18_183_3_PM2.5.csv,0.5817,66
site_49_35_3014_PM2.5.csv,0.5931,81
site_32_3_1019_PM2.5.csv,0.5969,25
site_1_73_1010_PM2.5.csv,0.6007,72
site_4_13_1010_Ozone.csv,0.6007,21
site_4_13_9702_Ozone.csv,0.6121,4
site_32_3_1019_PM10.csv,0.6197,25
site_9_3_25_PM10.csv,0.6311,49
site_6_111_7_Ozone.csv,0.6349,37
site_9_3_25_PM2.5.csv,0.6349,49
site_4_13_4010_Ozone.csv,0.6387,25
site_21_13_2_PM2.5.csv,0.6425,15
site_26_163_98_PM2.5.csv,0.6463,92
site_20_91_10_PM10.csv,0.6501,45
site_4_13_9508_Ozone.csv,0.6501,15
site_20_91_10_PM2.5.csv,0.6501,45
site_4_13_2005_Ozone.csv,0.6539,13
site_49_11_4_NO2.csv,0.6539,27
site_13_139_3_PM2.5.csv,0.6729,35
site_6_87_7_Ozone.csv,0.6729,16
site_4_13_3003_Ozone.csv,0.6767,8
site_36_81_124_PM2.5.csv,0.6767,53
site_4_13_4008_Ozone.csv,0.6843,39
site_55_3_10_PM2.5.csv,0.6881,34
site_9_1_10_PM2.5.csv,0.6919,86
site_9_1_10_PM10.csv,0.6919,86
site_9_9_27_PM2.5.csv,0.7071,72
site_32_3_540_PM10.csv,0.7071,47
site_6_37_4008_NO2.csv,0.7071,9
site_6_73_1201_Ozone.csv,0.7071,24
site_49_49_4001_Ozone.csv,0.7223,45
site_33_9_10_PM2.5.csv,0.7223,28
site_42_29_100_PM2.5.csv,0.7451,37
site_49_11_4_PM2.5.csv,0.7489,94
site_32_3_561_PM2.5.csv,0.7489,71
site_24_19_4_Ozone.csv,0.7527,30
site_4_13_4004_Ozone.csv,0.7527,30
site_25_25_44_PM2.5.csv,0.7565,148
site_12_9_7_Ozone.csv,0.7603,21
site_19_163_15_PM2.5.csv,0.7603,62
site_41_67_5_Ozone.csv,0.7603,63
site_49_35_3010_PM2.5.csv,0.7832,54
site_32_3_540_PM2.5.csv,0.7832,47
site_49_47_1004_PM2.5.csv,0.7946,109
site_4_13_9812_SO2.csv,0.7984,22
site_49_47_1004_Ozone.csv,0.8022,93
site_49_53_7_PM2.5.csv,0.806,99
site_13_59_2_PM2.5.csv,0.806,55
site_37_67_22_PM2.5.csv,0.8098,28
site_6_37_6012_CO.csv,0.8098,9
site_37_67_22_PM10.csv,0.8098,28
site_6_37_4010_Ozone.csv,0.8212,29
site_6_37_2005_NO2.csv,0.8212,6
site_39_113_38_PM10.csv,0.825,79
site_39_113_38_PM2.5.csv,0.825,79
site_39_35_73_PM2.5.csv,0.8288,38
site_4_13_7022_Ozone.csv,0.8364,7
site_6_65_12_Ozone.csv,0.844,9
site_4_13_2001_Ozone.csv,0.8478,17
site_4_19_21_Ozone.csv,0.8478,19
site_37_67_30_PM2.5.csv,0.8478,45
site_55_59_19_PM2.5.csv,0.8516,48
site_28_35_4_PM2.5.csv,0.8554,81
site_32_31_25_Ozone.csv,0.8592,30
site_38_7_2_SO2.csv,0.863,22
site_12_31_106_Ozone.csv,0.863,25
site_49_49_5010_Ozone.csv,0.8668,59
site_8_41_16_Ozone.csv,0.8668,46
site_28_49_21_PM2.5.csv,0.8706,50
site_32_31_20_Ozone.csv,0.8706,33
site_12_11_2003_PM2.5.csv,0.8706,65
site_4_13_3002_PM10.csv,0.8782,17
site_42_21_11_PM2.5.csv,0.8896,63
site_12_33_4_Ozone.csv,0.8934,88
site_38_25_4_Ozone.csv,0.8972,9
site_25_25_42_PM2.5.csv,0.8972,98
site_17_157_1_PM2.5.csv,0.9048,112
site_4_19_1020_Ozone.csv,0.9048,25
site_8_13_3_PM2.5.csv,0.9048,38
site_55_133_27_PM2.5.csv,0.92,127
site_8_77_17_PM2.5.csv,0.92,26
site_4_13_3002_SO2.csv,0.92,61
site_28_33_2_PM2.5.csv,0.9238,97
site_8_123_9_CO.csv,0.9276,24
site_32_31_1007_Ozone.csv,0.9352,24
site_13_89_2_PM2.5.csv,0.939,46
site_6_37_6012_NO2.csv,0.939,48
site_8_83_8001_Ozone.csv,0.9504,135
site_6_37_113_NO2.csv,0.9542,48
site_47_93_1013_PM2.5.csv,0.9694,35
site_55_111_7_PM2.5.csv,0.9694,104
site_38_57_4_SO2.csv,0.9694,54
site_49_35_3013_Ozone.csv,0.9732,17
site_28_59_6_PM2.5.csv,0.9732,73
site_18_35_10_Ozone.csv,0.977,27
site_49_45_4_PM2.5.csv,0.9808,88
site_6_71_26_CO.csv,0.9922,23
site_4_19_1018_Ozone.csv,0.9922,74
site_42_101_48_PM10.csv,0.996,90
site_49_35_2005_Ozone.csv,0.9998,12
site_6_65_5001_Ozone.csv,1.0036,16
site_6_51_5_PM10.csv,1.0036,51
site_6_51_5_PM2.5.csv,1.0036,51
site_49_49_5010_PM2.5.csv,1.0075,112
site_39_61_40_PM2.5.csv,1.0075,71
site_39_61_40_PM10.csv,1.0075,71
site_6_65_5001_NO2.csv,1.0113,16
site_38_65_2_PM2.5.csv,1.0151,65
site_45_37_1_PM2.5.csv,1.0265,146
site_55_111_7_PM10.csv,1.0303,104
site_19_113_40_PM2.5.csv,1.0455,145
site_38_101_3_PM2.5.csv,1.0455,64
site_26_163_1_PM2.5.csv,1.0493,97
site_4_13_4011_Ozone.csv,1.0493,25
site_8_31_28_PM2.5.csv,1.0493,27
site_26_163_1_PM10.csv,1.0493,97
site_42_41_101_PM2.5.csv,1.0531,168
site_16_1_10_CO.csv,1.0531,24
site_32_31_2009_Ozone.csv,1.0607,47
site_6_37_1103_Ozone.csv,1.0607,14
site_47_93_1013_PM10.csv,1.0645,35
site_21_111_51_PM2.5.csv,1.0645,93
site_6_37_1103_NO2.csv,1.0645,14
site_6_59_5001_CO.csv,1.0683,52
site_8_123_6_PM2.5.csv,1.0683,55
site_6_61_2003_Ozone.csv,1.0759,72
site_17_19_1001_PM2.5.csv,1.0759,30
site_42_3_8_Ozone.csv,1.0797,29
site_4_13_7024_Ozone.csv,1.0797,27
site_8_31_26_PM2.5.csv,1.0835,24
site_6_25_1003_PM10.csv,1.0987,99
site_55_79_56_CO.csv,1.1025,59
site_28_47_8_PM2.5.csv,1.1101,73
site_18_97_78_PM10.csv,1.1139,105
site_18_97_78_PM2.5.csv,1.1177,105
site_12_127_5002_Ozone.csv,1.1215,148
site_6_71_26_NO2.csv,1.1215,47
site_4_13_4011_PM10.csv,1.1329,11
site_6_37_4010_NO2.csv,1.1329,94
site_12_111_13_Ozone.csv,1.1367,29
site_56_39_1011_Ozone.csv,1.1405,14
site_18_89_34_PM2.5.csv,1.1557,110
site_21_111_67_PM10.csv,1.1861,126
site_21_111_67_PM2.5.csv,1.1861,126
site_35_61_8_Ozone.csv,1.1861,6
site_6_59_5001_NO2.csv,1.1899,49
site_42_71_7_PM2.5.csv,1.1975,107
site_4_13_1004_Ozone.csv,1.1975,73
site_49_5_7_PM2.5.csv,1.1975,188
site_6_65_8001_SO2.csv,1.2013,9
site_25_25_2_PM2.5.csv,1.2051,169
site_18_97_50_Ozone.csv,1.2089,55
site_9_3_1003_PM10.csv,1.2127,62
site_9_3_1003_PM2.5.csv,1.2127,62
site_17_31_4201_PM2.5.csv,1.2127,206
site_4_13_19_Ozone.csv,1.2127,99
site_19_103_2001_PM2.5.csv,1.2165,63
site_49_35_3016_Ozone.csv,1.2165,22
site_6_65_8005_Ozone.csv,1.2165,32
site_42_101_55_PM2.5.csv,1.2165,55
site_49_35_2005_CO.csv,1.2203,46
site_36_1_5_PM2.5.csv,1.2203,54
site_49_35_3010_Ozone.csv,1.2241,54
site_6_65_8005_CO.csv,1.228,32
site_6_65_8001_NO2.csv,1.228,48
site_25_3_8_PM2.5.csv,1.2356,75
site_17_31_119_NO2.csv,1.2356,249
site_8_31_13_PM2.5.csv,1.2356,75
site_36_5_110_PM2.5.csv,1.2394,45
site_36_55_1007_PM2.5.csv,1.2394,199
site_39_85_7_SO2.csv,1.2432,24
site_21_43_500_PM2.5.csv,1.247,102
site_25_13_8_PM2.5.csv,1.247,117
site_6_65_5001_PM10.csv,1.247,144
site_21_111_67_Ozone.csv,1.247,16
site_26_161_8_PM2.5.csv,1.2508,65
site_6_65_9001_CO.csv,1.2508,11
site_49_11_4_Ozone.csv,1.2622,27
site_49_45_4_Ozone.csv,1.2698,49
site_39_155_14_PM2.5.csv,1.2736,75
site_32_33_101_Ozone.csv,1.2774,15
site_42_5_1_PM2.5.csv,1.2812,89
site_39_145_20_SO2.csv,1.2812,34
site_32_3_1501_PM2.5.csv,1.2812,148
site_12_99_22_Ozone.csv,1.285,77
site_39_35_60_PM10.csv,1.2926,55
site_12_31_77_Ozone.csv,1.2926,48
site_39_35_60_PM2.5.csv,1.2926,55
site_4_21_3001_Ozone.csv,1.2964,97
site_36_67_1015_PM2.5.csv,1.304,199
site_49_53_130_Ozone.csv,1.304,159
site_18_39_7_Ozone.csv,1.3078,47
site_49_35_4002_Ozone.csv,1.3078,30
site_49_21_5_Ozone.csv,1.3078,43
site_29_71_9002_SO2.csv,1.3192,27
site_50_7_7_PM2.5.csv,1.323,105
site_18_67_4_Ozone.csv,1.323,77
site_45_41_3_PM2.5.csv,1.3382,22
site_34_23_11_NO2.csv,1.3458,43
site_39_153_17_SO2.csv,1.3572,81
site_6_25_5_PM10.csv,1.3572,74
site_4_13_4010_PM10.csv,1.3648,68
site_49_47_7022_Ozone.csv,1.3686,30
site_40_109_1037_SO2.csv,1.3724,30
site_4_21_3003_Ozone.csv,1.3724,91
site_17_163_10_PM2.5.csv,1.3724,240
site_42_3_1301_PM2.5.csv,1.38,77
site_32_3_75_Ozone.csv,1.38,37
site_1_73_2003_PM10.csv,1.38,56
site_42_3_1301_PM10.csv,1.38,77
site_49_57_1003_Ozone.csv,1.38,53
site_17_31_4007_PM2.5.csv,1.3838,90
site_34_21_5_Ozone.csv,1.3876,74
site_20_91_10_Ozone.csv,1.3914,54
site_49_13_7011_Ozone.csv,1.3952,81
site_21_199_3_PM2.5.csv,1.399,123
site_8_47_3_Ozone.csv,1.399,22
site_32_31_2002_Ozone.csv,1.4066,57
site_38_25_4_SO2.csv,1.4142,170
site_6_71_27_NO2.csv,1.418,54
site_39_145_20_PM10.csv,1.4218,30
site_51_87_14_PM2.5.csv,1.4218,75
site_35_1_1012_PM2.5.csv,1.4294,79
site_35_1_1012_PM10.csv,1.4294,79
site_8_31_27_PM2.5.csv,1.4332,53
site_46_99_9_SO2.csv,1.437,35
site_4_21_3002_PM10.csv,1.437,63
site_18_145_1_Ozone.csv,1.4408,71
site_17_43_4002_PM2.5.csv,1.4408,314
site_6_65_12_NO2.csv,1.4408,140
