model,MASE,CRPS,MAE,RMSE
TiRex,0.9584,0.2033,7.2596,13.352
chronos2_base,0.9608,0.2048,7.323,13.5192
TimesFM-2.5,0.98,0.2069,7.3747,13.41
visiontspp_base,0.9862,0.2037,7.2461,13.3165
chronos_bolt_base,1.013,0.2099,7.4108,13.5463
TimesFM-2.0,1.0171,0.2164,7.6149,13.7144
sundial_base,1.0203,0.2313,7.5473,13.4199
moirai2,1.0208,0.2073,7.431,13.5213
lightgbm,1.068,0.2176,7.6227,13.7087
auto_ets,1.0811,0.2614,8.4661,14.3351
TimesFM-1.0,1.1232,0.2245,7.9448,14.1424
moirai_base,1.1328,0.2208,7.7288,13.9093
seasonal_naive,1.1426,0.2989,9.0198,16.4716
patchtst,1.1891,0.2101,7.5833,13.4384
dlinear,1.2275,0.2366,7.7683,13.5062
deepar,1.3109,0.2227,7.8287,13.7158
kairos,3.4144,0.388,14.0115,22.2858
