model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8136,0.367,5.2181,8.0903
chronos_bolt_base,0.8179,0.374,5.2504,8.085
TimesFM-2.5,0.8209,0.3671,5.2711,8.1543
TimesFM-2.0,0.8259,0.3702,5.3033,8.2635
chronos2_base,0.8285,0.3742,5.3269,8.232
TiRex,0.8303,0.3783,5.3512,8.2753
moirai2,0.8309,0.3738,5.3386,8.2203
patchtst,0.8337,0.3913,5.3449,7.9824
sundial_base,0.8359,0.4249,5.3875,8.1822
dlinear,0.8369,0.4054,5.365,7.9741
TimesFM-1.0,0.838,0.3924,5.4013,8.3281
deepar,0.8467,0.3697,5.4083,8.4402
moirai_base,0.8531,0.39,5.4788,8.3548
lightgbm,0.8735,0.447,5.6481,8.3194
auto_ets,0.9467,0.4733,6.0775,8.7361
seasonal_naive,1.0542,0.5573,6.7961,10.1837
kairos,1.1115,0.4967,7.198,10.2964
