model,MASE,CRPS,MAE,RMSE
TiRex,0.7891,0.2094,12.1036,16.2796
TimesFM-2.5,0.7947,0.2117,12.1786,16.2617
visiontspp_base,0.7996,0.2098,12.2519,16.4122
chronos_bolt_base,0.8046,0.2111,12.3418,16.6341
chronos2_base,0.8078,0.2113,12.3837,16.6876
TimesFM-2.0,0.8089,0.2175,12.4071,16.4823
sundial_base,0.8103,0.2353,12.4283,16.4043
patchtst,0.8239,0.2277,12.6008,16.5287
dlinear,0.8258,0.2352,12.6307,16.6328
moirai2,0.8287,0.2195,12.743,17.0559
moirai_base,0.8387,0.2211,12.8908,17.0759
TimesFM-1.0,0.8692,0.2363,13.4152,17.7511
lightgbm,0.8866,0.2424,13.5973,17.3537
auto_ets,0.9171,0.2476,14.1065,18.1529
seasonal_naive,1.0474,0.2921,16.2253,21.3521
deepar,1.07,0.3131,16.1732,20.9212
kairos,1.2071,0.3113,18.4867,24.1644
