model,MASE,CRPS,MAE,RMSE
TiRex,1.126,0.5008,1.7682,6.0633
visiontspp_base,1.1322,0.5225,1.8607,6.1432
TimesFM-2.5,1.133,0.4767,1.777,6.0525
moirai2,1.1332,0.4851,1.8114,6.1681
TimesFM-2.0,1.1436,0.4864,1.8006,6.0947
TimesFM-1.0,1.1451,0.514,1.8503,6.0819
moirai_base,1.1457,0.49,1.7996,6.1487
patchtst,1.1471,0.5209,1.8021,6.1793
deepar,1.1513,0.4654,1.823,6.2756
sundial_base,1.1549,0.7082,1.9667,5.9587
chronos2_base,1.1629,0.5423,1.8593,6.2712
chronos_bolt_base,1.1651,0.5328,1.8531,6.4281
lightgbm,1.1707,0.6183,1.8835,6.0822
kairos,1.1973,0.6574,1.9787,6.2132
dlinear,1.2366,0.7205,2.1018,5.9258
auto_ets,1.3745,1.3986,2.7296,6.7057
seasonal_naive,1.4719,1.8537,2.8292,8.2964
