model,MASE,CRPS,MAE,RMSE
patchtst,0.8299,0.2392,17.0695,23.1067
TiRex,0.8411,0.2367,17.4036,24.2259
TimesFM-2.5,0.8428,0.2382,17.3898,23.9527
visiontspp_base,0.8444,0.2366,17.4537,24.1604
chronos_bolt_base,0.8464,0.2377,17.5045,24.3529
chronos2_base,0.8514,0.2385,17.6044,24.4726
sundial_base,0.8525,0.2606,17.5851,23.9651
TimesFM-2.0,0.8619,0.246,17.7917,24.4405
moirai2,0.8647,0.2432,17.8759,24.6801
lightgbm,0.8757,0.2453,18.0217,24.2071
moirai_base,0.8822,0.2529,18.2744,25.1446
deepar,0.8865,0.2671,18.3454,24.7214
dlinear,0.8897,0.247,18.2302,24.5767
TimesFM-1.0,0.9108,0.2591,18.8451,25.8944
auto_ets,0.9649,0.2804,19.9749,26.3938
seasonal_naive,1.0496,0.3102,21.8783,29.5991
kairos,1.4048,0.3831,28.767,38.4695
