model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8274,0.2302,33.3408,54.2432
TimesFM-2.5,0.8378,0.2317,33.8102,54.6947
TiRex,0.8411,0.2355,34.0473,55.2789
moirai2,0.8412,0.2323,33.8924,54.7115
patchtst,0.8447,0.2312,33.7351,54.5133
chronos2_base,0.8471,0.2342,34.2635,56.3555
TimesFM-2.0,0.8526,0.2372,34.3008,55.4982
chronos_bolt_base,0.8574,0.2385,34.5821,57.9687
dlinear,0.8585,0.2427,34.4372,54.6153
sundial_base,0.8593,0.2602,34.7288,55.1275
moirai_base,0.8678,0.2419,34.857,55.7289
TimesFM-1.0,0.8718,0.2451,35.2738,56.6074
deepar,0.8847,0.2353,34.9626,56.7679
lightgbm,0.8965,0.2596,35.9833,56.2262
auto_ets,0.9431,0.2768,38.6514,59.4881
seasonal_naive,1.0641,0.3295,43.7833,70.1495
kairos,1.1271,0.306,45.2636,67.9622
