model,MASE,CRPS,MAE,RMSE
TiRex,0.9158,0.2054,3.2355,6.7549
TimesFM-2.5,0.9193,0.2031,3.2357,6.6757
visiontspp_base,0.9249,0.2058,3.2481,6.6971
sundial_base,0.9256,0.2259,3.2772,6.5876
moirai2,0.9294,0.205,3.2752,6.7278
chronos2_base,0.9303,0.2104,3.3041,7.0389
TimesFM-2.0,0.9405,0.2106,3.3056,6.8017
chronos_bolt_base,0.9547,0.2139,3.3648,7.1424
TimesFM-1.0,0.9713,0.2164,3.3939,6.853
moirai_base,0.9879,0.2166,3.4182,6.9551
lightgbm,0.9929,0.2195,3.3938,6.8006
patchtst,1.0044,0.2094,3.3492,6.7983
auto_ets,1.023,0.2577,3.7083,7.1049
kairos,1.1309,0.2442,3.8621,7.4591
seasonal_naive,1.1444,0.3195,4.181,8.501
dlinear,1.1765,0.245,3.5463,6.7834
deepar,1.276,0.2263,3.602,7.0019
