model,MASE,CRPS,MAE,RMSE
TiRex,0.7892,0.231,12.2251,16.4366
TimesFM-2.5,0.7943,0.2328,12.299,16.3841
visiontspp_base,0.8,0.2315,12.386,16.5546
chronos_bolt_base,0.8072,0.2338,12.4915,16.8409
TimesFM-2.0,0.8079,0.2402,12.5095,16.5904
chronos2_base,0.8083,0.2318,12.515,16.8591
sundial_base,0.8099,0.264,12.5228,16.4957
patchtst,0.8149,0.2599,12.5953,16.5303
dlinear,0.821,0.2494,12.6728,16.5682
moirai2,0.8266,0.243,12.8391,17.2031
moirai_base,0.8354,0.243,12.9689,17.2464
deepar,0.8373,0.27,12.9313,16.9748
TimesFM-1.0,0.8597,0.2605,13.3702,17.6936
auto_ets,0.9082,0.273,14.0685,18.1006
lightgbm,1.0137,0.3006,15.5162,19.3631
seasonal_naive,1.0477,0.3234,16.3166,21.284
kairos,1.2072,0.3425,18.9044,25.1278
