model,MASE,CRPS,MAE,RMSE
TimesFM-2.5,0.8147,0.3276,3.2462,5.6072
visiontspp_base,0.8165,0.3313,3.255,5.6553
TiRex,0.8191,0.3307,3.2676,5.6547
moirai2,0.8228,0.3274,3.2791,5.6776
dlinear,0.824,0.3389,3.2984,5.6096
chronos2_base,0.8308,0.3344,3.3274,5.9127
TimesFM-2.0,0.8314,0.3419,3.3252,5.702
moirai_base,0.8378,0.3458,3.3699,5.8393
sundial_base,0.8436,0.3786,3.3907,5.7521
patchtst,0.8455,0.3342,3.3619,5.7316
chronos_bolt_base,0.8459,0.3431,3.3949,6.0261
TimesFM-1.0,0.8672,0.3643,3.4865,5.9316
deepar,0.8968,0.3712,3.6323,6.2157
auto_ets,0.928,0.4151,3.7659,6.2286
lightgbm,0.9455,0.4365,3.9167,6.3349
kairos,0.9494,0.4049,3.8482,6.2814
seasonal_naive,1.1008,0.5282,4.5163,7.64
