model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.815,0.3375,3.1968,5.3693
patchtst,0.8169,0.3314,3.1954,5.3585
TimesFM-2.5,0.8181,0.3349,3.21,5.4091
TiRex,0.8195,0.3399,3.2286,5.4466
moirai2,0.8256,0.3364,3.239,5.4477
chronos2_base,0.8321,0.3425,3.2816,5.5565
TimesFM-2.0,0.8367,0.3478,3.3043,5.5606
dlinear,0.8384,0.3485,3.3152,5.4267
chronos_bolt_base,0.841,0.3473,3.3089,5.657
moirai_base,0.843,0.3534,3.3483,5.6508
sundial_base,0.8434,0.3834,3.334,5.5177
deepar,0.8456,0.3464,3.3112,5.5699
TimesFM-1.0,0.8556,0.3607,3.3759,5.6191
auto_ets,0.9213,0.4109,3.6903,5.9327
lightgbm,0.9404,0.3589,3.6097,6.0236
kairos,0.9589,0.4109,3.8601,6.2421
seasonal_naive,1.0866,0.5112,4.3375,7.0232
