model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.801,0.471,6.4893,9.7867
TimesFM-2.5,0.8113,0.4616,6.5751,9.8669
patchtst,0.8165,0.4947,6.606,9.6999
TiRex,0.8172,0.4715,6.6427,10.0217
chronos_bolt_base,0.8176,0.4762,6.619,9.9271
moirai2,0.8191,0.4756,6.6496,9.9929
chronos2_base,0.8201,0.4582,6.6366,9.9951
TimesFM-2.0,0.8234,0.478,6.6908,10.1149
dlinear,0.8306,0.5332,6.7571,9.8143
sundial_base,0.8327,0.5774,6.793,9.9639
moirai_base,0.8332,0.5222,6.7517,10.0754
TimesFM-1.0,0.8356,0.5011,6.8151,10.1705
deepar,0.8515,0.4336,6.7648,10.2293
lightgbm,0.8744,0.6014,7.1223,10.095
auto_ets,0.9481,0.6505,7.7261,10.8643
seasonal_naive,1.0582,0.7645,8.7106,12.8965
kairos,1.0998,0.6482,8.8933,12.3642
