model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8503,0.3675,10.3892,29.2183
TiRex,0.8576,0.3722,10.4703,29.2666
TimesFM-2.5,0.859,0.3621,10.4661,29.3153
patchtst,0.8592,0.3689,10.5248,29.4925
chronos2_base,0.8652,0.3756,10.5978,29.6795
moirai2,0.8665,0.3683,10.5845,29.4649
chronos_bolt_base,0.8699,0.379,10.7017,30.432
TimesFM-2.0,0.8735,0.3711,10.649,29.5642
sundial_base,0.8763,0.4312,10.9147,29.1661
TimesFM-1.0,0.8775,0.3779,10.7127,29.458
moirai_base,0.8787,0.3803,10.7623,29.5642
deepar,0.8974,0.3841,10.8596,29.7805
dlinear,0.8981,0.4161,11.6267,29.9086
lightgbm,0.9028,0.3912,10.9298,29.7129
kairos,0.9941,0.4411,12.3115,30.8602
auto_ets,1.0053,0.5697,13.6718,32.19
seasonal_naive,1.1286,0.7096,14.6238,39.4106
