model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.9306,0.3349,30.4933,90.327
TimesFM-2.5,0.9378,0.3292,30.7988,88.2895
moirai2,0.9397,0.3321,30.5055,88.1234
chronos2_base,0.941,0.336,30.8608,89.7443
TiRex,0.9411,0.3438,30.1686,86.9329
chronos_bolt_base,0.951,0.3478,31.1409,87.8635
sundial_base,0.953,0.4169,31.9618,88.6417
TimesFM-2.0,0.9639,0.3528,32.4664,93.4608
moirai_base,0.9652,0.3505,31.2748,89.3004
TimesFM-1.0,0.9763,0.3673,33.4844,94.5272
patchtst,0.9922,0.3665,36.1563,98.2805
lightgbm,0.9923,0.4489,36.3437,98.0043
dlinear,1.0123,0.4419,35.6852,91.6687
deepar,1.0387,0.4095,39.8197,108.9171
auto_ets,1.1062,0.5405,37.6249,97.0268
kairos,1.1076,0.4255,35.7761,93.0295
seasonal_naive,1.1985,0.692,41.7036,118.3819
