model,MASE,CRPS,MAE,RMSE
patchtst,0.8336,0.2815,21.2795,49.1893
visiontspp_base,0.8356,0.2904,21.4727,49.1417
TimesFM-2.5,0.8382,0.2893,21.317,48.5706
TiRex,0.8399,0.2927,21.438,48.7154
moirai2,0.8453,0.2892,21.5371,49.0333
TimesFM-2.0,0.8577,0.3024,21.9889,49.1508
dlinear,0.8577,0.3025,22.5189,49.6429
chronos2_base,0.858,0.2964,22.1329,52.0721
moirai_base,0.8619,0.3038,22.2266,50.11
sundial_base,0.8626,0.3304,22.2922,49.2899
chronos_bolt_base,0.8753,0.3048,22.8962,56.493
TimesFM-1.0,0.8759,0.3109,22.5138,49.8901
deepar,0.8825,0.3095,22.8043,50.5558
lightgbm,0.9097,0.3173,23.6441,51.5446
auto_ets,0.9613,0.3785,26.1744,55.4147
kairos,0.9832,0.3586,25.3065,52.8521
seasonal_naive,1.1222,0.4732,30.5477,66.6172
