model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.9186,0.2014,2.1343,4.5047
TiRex,0.9209,0.2011,2.1476,4.5503
TimesFM-2.5,0.9244,0.1995,2.1457,4.5583
moirai2,0.9277,0.2018,2.1608,4.5549
chronos2_base,0.9309,0.2046,2.1785,4.5662
chronos_bolt_base,0.9372,0.2062,2.1898,4.603
moirai_base,0.9416,0.2068,2.1962,4.612
sundial_base,0.9435,0.2269,2.221,4.5087
TimesFM-2.0,0.945,0.2041,2.1834,4.6088
TimesFM-1.0,0.972,0.2118,2.2323,4.612
patchtst,1.0124,0.2038,2.1754,4.5803
kairos,1.0578,0.2357,2.5151,4.982
auto_ets,1.0609,0.2664,2.5932,4.8593
dlinear,1.119,0.2286,2.3085,4.5342
seasonal_naive,1.157,0.329,2.8899,5.9786
deepar,1.1622,0.2086,2.291,4.8613
lightgbm,1.1709,0.2165,2.2464,4.5931
