model,MASE,CRPS,MAE,RMSE
visiontspp_base,1.0781,0.1623,5.1216,10.3273
TiRex,1.0838,0.1656,5.2005,10.406
TimesFM-2.5,1.0841,0.1604,5.1677,10.3363
moirai2,1.0869,0.163,5.1759,10.3254
chronos2_base,1.0881,0.163,5.2183,10.5389
chronos_bolt_base,1.0959,0.1703,5.2593,10.7192
sundial_base,1.1113,0.1952,5.3635,10.4337
moirai_base,1.1149,0.1784,5.3807,10.6453
TimesFM-2.0,1.1306,0.1716,5.3076,10.5867
TimesFM-1.0,1.1983,0.1781,5.4242,10.7053
auto_ets,1.213,0.3308,6.0704,11.1965
seasonal_naive,1.337,0.3972,6.6258,13.1773
kairos,1.4425,0.2559,7.8984,13.7969
patchtst,1.5875,0.1869,5.4811,10.8999
lightgbm,1.6777,0.2144,5.5312,10.7977
dlinear,1.8683,0.2487,5.5151,10.5047
deepar,2.9608,0.2123,5.776,10.9318
