model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8321,0.2599,16.1725,30.6507
TimesFM-2.5,0.8429,0.2588,16.3797,30.7488
TiRex,0.8447,0.2708,16.4442,31.0469
moirai2,0.8459,0.2597,16.4226,30.827
chronos2_base,0.8537,0.2642,16.6957,32.5181
TimesFM-2.0,0.8571,0.2887,16.6176,31.0818
sundial_base,0.8635,0.3402,16.8308,30.9482
chronos_bolt_base,0.8644,0.3223,16.9652,35.156
moirai_base,0.8663,0.2918,16.8809,31.4792
dlinear,0.8678,0.3633,16.9476,30.8994
TimesFM-1.0,0.8745,0.32,17.129,31.7719
patchtst,0.8824,0.3409,16.977,31.6974
deepar,0.8862,0.3527,17.065,32.3677
lightgbm,0.9153,0.6404,18.0045,32.2744
auto_ets,0.9515,0.4378,19.0954,33.9512
seasonal_naive,1.0774,0.5414,21.5346,40.4535
kairos,1.1056,0.4264,22.3996,37.9409
