model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8233,0.1743,0.0627,0.1043
TiRex,0.8308,0.1773,0.0635,0.1057
TimesFM-2.5,0.8352,0.1762,0.0635,0.1052
chronos_bolt_base,0.8373,0.1789,0.0638,0.1064
chronos2_base,0.8408,0.179,0.0642,0.1073
TimesFM-2.0,0.8416,0.1786,0.0641,0.1064
sundial_base,0.8417,0.195,0.0644,0.105
moirai2,0.8513,0.1799,0.0649,0.1068
TimesFM-1.0,0.8558,0.1829,0.0652,0.1073
patchtst,0.8612,0.1824,0.0652,0.1045
moirai_base,0.8764,0.1866,0.0667,0.1092
dlinear,0.8824,0.1927,0.0674,0.1054
deepar,0.9081,0.1869,0.0686,0.1133
lightgbm,0.9302,0.1912,0.0693,0.1137
auto_ets,0.9514,0.2112,0.0735,0.1145
kairos,1.0312,0.2171,0.0784,0.1207
seasonal_naive,1.0644,0.2467,0.0818,0.1326
