model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8081,0.3163,5.3324,7.7759
chronos_bolt_base,0.8168,0.3229,5.3788,7.8254
TimesFM-2.5,0.817,0.3171,5.3975,7.8632
TimesFM-2.0,0.8206,0.3209,5.4116,7.9272
chronos2_base,0.8218,0.322,5.416,7.9024
TiRex,0.8226,0.3237,5.4468,7.9389
sundial_base,0.8282,0.3591,5.4817,7.8747
moirai2,0.8299,0.3214,5.4988,7.9895
TimesFM-1.0,0.8349,0.333,5.5162,8.0074
dlinear,0.8399,0.3387,5.5332,7.7357
patchtst,0.8407,0.3358,5.5334,7.7446
moirai_base,0.8442,0.333,5.5955,8.0668
deepar,0.8576,0.3181,5.6298,8.359
lightgbm,0.8823,0.3424,5.7921,8.3882
auto_ets,0.9283,0.3862,6.1405,8.48
kairos,1.038,0.4088,6.8623,9.4408
seasonal_naive,1.0613,0.4609,7.0256,9.9532
