model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8185,0.3118,5.2183,8.6027
patchtst,0.823,0.323,5.2613,8.5609
TimesFM-2.5,0.8251,0.31,5.2535,8.6754
TiRex,0.8276,0.3181,5.2935,8.7218
moirai2,0.8357,0.3133,5.3283,8.7525
chronos2_base,0.8372,0.3193,5.367,8.8769
chronos_bolt_base,0.8389,0.3235,5.3748,8.9311
dlinear,0.8398,0.3348,5.4227,8.646
sundial_base,0.8413,0.3543,5.3993,8.7612
TimesFM-2.0,0.843,0.3218,5.3954,8.8937
moirai_base,0.8468,0.3247,5.4297,8.8856
TimesFM-1.0,0.8556,0.33,5.4677,8.9152
deepar,0.8632,0.3147,5.4611,9.1409
lightgbm,0.9143,0.3328,5.7597,9.4318
auto_ets,0.9221,0.3801,6.0118,9.4379
kairos,0.9477,0.368,6.1127,9.6355
seasonal_naive,1.0766,0.4684,7.0182,11.2958
