model,MASE,CRPS,MAE,RMSE
TiRex,0.8177,0.1852,12.0895,16.3807
patchtst,0.8191,0.2023,12.0358,15.8498
TimesFM-2.5,0.8227,0.1876,12.1468,16.3421
visiontspp_base,0.8262,0.1892,12.1998,16.4877
sundial_base,0.8272,0.212,12.209,16.2699
chronos_bolt_base,0.8279,0.1873,12.2354,16.6098
TimesFM-2.0,0.8358,0.1984,12.3438,16.5432
chronos2_base,0.837,0.1875,12.3586,16.7829
dlinear,0.8379,0.2044,12.3111,16.2269
lightgbm,0.8518,0.2143,12.521,16.4148
moirai2,0.854,0.1972,12.6498,17.0277
moirai_base,0.871,0.2015,12.8903,17.2346
TimesFM-1.0,0.8901,0.2204,13.2161,17.7056
deepar,0.8945,0.2411,13.1122,17.3424
auto_ets,0.9518,0.2218,14.0895,18.2789
seasonal_naive,1.0472,0.2529,15.6139,20.8468
kairos,1.4774,0.3279,21.5797,28.0966
