model,MASE,CRPS,MAE,RMSE
patchtst,0.9158,0.2636,15.7774,24.2151
visiontspp_base,0.9219,0.2618,15.9471,25.3729
chronos2_base,0.9243,0.266,15.9712,24.7482
TimesFM-2.5,0.9296,0.2678,16.0684,24.971
TiRex,0.931,0.265,16.1738,25.3514
moirai2,0.9328,0.2649,16.1004,25.0149
chronos_bolt_base,0.937,0.2676,16.2569,25.7077
sundial_base,0.9462,0.2965,16.3963,25.263
dlinear,0.9496,0.2738,16.3657,25.2082
TimesFM-2.0,0.9606,0.2767,16.6215,25.8971
deepar,0.9667,0.2847,16.6367,25.7115
moirai_base,0.9763,0.2851,16.9359,26.1277
TimesFM-1.0,0.9929,0.283,17.14,26.4802
lightgbm,1.0063,0.2969,17.4189,26.2027
auto_ets,1.0683,0.3233,18.5742,27.3264
seasonal_naive,1.0691,0.3377,18.7174,29.6143
kairos,1.8061,0.484,30.7992,44.0097
