model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.885,0.5302,9.729,28.4583
TiRex,0.897,0.6417,9.8055,29.1252
chronos_bolt_base,0.8993,0.6174,9.9993,28.6281
chronos2_base,0.9032,0.8054,9.9919,29.3072
TimesFM-2.5,0.9059,0.5137,9.8475,28.999
patchtst,0.9096,1.0613,10.7695,30.5853
moirai2,0.9124,0.5291,10.0957,29.7128
sundial_base,0.914,1.2181,10.321,28.7059
TimesFM-2.0,0.9156,0.916,10.2547,29.1526
moirai_base,0.9169,0.5588,10.3417,31.4715
dlinear,0.9255,1.7692,11.1196,28.9131
TimesFM-1.0,0.9325,1.4644,10.8491,30.3137
deepar,0.9465,2.6854,11.6094,32.1763
lightgbm,0.9532,2.1104,11.525,32.2198
auto_ets,1.0013,1.5523,11.7782,30.227
seasonal_naive,1.1137,2.6216,12.927,37.6782
kairos,1.1935,1.4579,12.7126,30.247
