model,AURN,CNEMC,CPCB,EEA DE,EEA FR,EPA,SINAICA
visiontspp_base,0.7563,0.7702,0.8073,0.7642,0.7601,0.7749,0.8186
TiRex,0.7582,0.7759,0.8083,0.7669,0.7638,0.778,0.8291
TimesFM-2.5,0.7592,0.7739,0.8105,0.7674,0.7642,0.7801,0.8292
moirai2,0.7687,0.7805,0.8181,0.7788,0.7754,0.7899,0.8321
chronos2_base,0.7774,0.7854,0.8163,0.7779,0.7759,0.7886,0.8302
chronos_bolt_base,0.7795,0.7915,0.8303,0.7818,0.7769,0.7904,0.8347
sundial_base,0.7685,0.792,0.8265,0.7828,0.7791,0.7961,0.8414
TimesFM-2.0,0.7711,0.7916,0.8369,0.7939,0.7759,0.8013,0.8409
moirai_base,0.7855,0.7961,0.8542,0.7934,0.7904,0.8043,0.8514
TimesFM-1.0,0.7896,0.8161,0.8822,0.8413,0.7944,0.8309,0.8579
patchtst,0.7605,0.7874,1.0544,0.8176,0.7803,0.8014,0.8403
auto_ets,0.8707,0.8865,0.9066,0.8807,0.8812,0.9071,0.9329
dlinear,0.7874,0.8238,1.1438,1.087,0.7974,0.8561,0.8683
deepar,0.786,0.8432,1.3517,0.8584,0.8414,0.8927,0.8881
lightgbm,0.8273,0.8599,0.9991,1.3366,0.8421,0.8398,0.8741
seasonal_naive,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kairos,0.8721,1.0057,1.2579,0.9385,0.9471,0.9975,1.1117
