model,MASE,CRPS,MAE,RMSE
TiRex,0.7799,0.2116,11.3724,15.3199
TimesFM-2.5,0.7866,0.2152,11.4601,15.3572
visiontspp_base,0.793,0.2132,11.567,15.4976
TimesFM-2.0,0.7953,0.2201,11.6071,15.5203
sundial_base,0.7964,0.2378,11.6216,15.4175
dlinear,0.8048,0.2328,11.7243,15.6214
chronos2_base,0.8091,0.2173,11.8232,15.9042
moirai2,0.8133,0.2198,11.9039,15.9355
chronos_bolt_base,0.8135,0.2182,11.8944,15.9953
patchtst,0.8153,0.2414,11.8864,15.8026
deepar,0.8175,0.2633,11.9502,15.8906
moirai_base,0.831,0.2235,12.1426,16.1774
TimesFM-1.0,0.8578,0.2421,12.5846,16.7826
lightgbm,0.8591,0.26,12.5791,16.3401
auto_ets,0.8976,0.2511,13.1541,17.1105
kairos,1.0052,0.2715,14.6526,19.3464
seasonal_naive,1.0503,0.2999,15.4741,20.3091
