model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8003,0.2856,7.3098,11.0871
patchtst,0.8035,0.2837,7.3271,10.9889
moirai2,0.8082,0.2871,7.3716,11.1477
TimesFM-2.5,0.8098,0.2873,7.384,11.1352
dlinear,0.8184,0.2978,7.4954,11.0636
chronos2_base,0.8188,0.2914,7.4805,11.3595
TiRex,0.8204,0.2931,7.5177,11.3714
chronos_bolt_base,0.8208,0.2952,7.5027,11.4165
TimesFM-2.0,0.8226,0.2936,7.5105,11.3686
moirai_base,0.8287,0.299,7.5771,11.3383
deepar,0.8315,0.2942,7.5725,11.3417
sundial_base,0.8332,0.3269,7.6515,11.3152
TimesFM-1.0,0.8432,0.3069,7.7486,11.5995
lightgbm,0.8548,0.3145,7.8826,11.5634
auto_ets,0.9359,0.3595,8.6695,12.3952
seasonal_naive,1.0563,0.4285,9.8504,14.7252
kairos,1.138,0.4147,10.493,14.7121
