model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8137,0.3295,11.2294,21.1204
TimesFM-2.5,0.8151,0.3284,11.1904,20.824
TiRex,0.819,0.3316,11.3072,21.1466
moirai2,0.824,0.3278,11.3236,21.0828
patchtst,0.8337,0.3356,11.525,21.3781
TimesFM-2.0,0.8341,0.3424,11.513,21.2348
chronos2_base,0.8343,0.3333,11.5998,23.2657
moirai_base,0.8385,0.3449,11.6368,21.7274
sundial_base,0.8402,0.3766,11.6636,21.2644
dlinear,0.8438,0.356,11.8049,21.2023
deepar,0.8467,0.3402,11.6795,21.7003
chronos_bolt_base,0.8493,0.3429,11.8942,24.5609
TimesFM-1.0,0.8561,0.3567,11.8994,21.7923
lightgbm,0.9128,0.3613,12.6479,23.0049
auto_ets,0.9317,0.4187,13.3167,24.0191
kairos,0.9669,0.416,13.559,23.5243
seasonal_naive,1.0977,0.5284,15.8193,28.9843
