model,MASE,CRPS,MAE,RMSE
patchtst,0.8155,0.301,4.8939,8.8157
visiontspp_base,0.8177,0.3064,4.9071,8.7896
TimesFM-2.5,0.8187,0.3021,4.8999,8.7279
TiRex,0.8246,0.3084,4.9517,8.8209
moirai2,0.8287,0.3048,4.9681,8.8505
dlinear,0.8303,0.3163,5.0137,8.7273
chronos2_base,0.8343,0.313,5.047,9.1636
TimesFM-2.0,0.8372,0.3166,5.05,8.9691
moirai_base,0.8397,0.3182,5.0686,9.0318
sundial_base,0.8407,0.3462,5.0761,8.855
chronos_bolt_base,0.8445,0.3183,5.1055,9.2909
TimesFM-1.0,0.8601,0.3302,5.1837,9.0384
deepar,0.8602,0.3305,5.2019,9.1086
lightgbm,0.9093,0.3527,5.5419,9.4463
auto_ets,0.9243,0.3816,5.6784,9.6087
kairos,0.9354,0.3616,5.6878,9.5998
seasonal_naive,1.0899,0.478,6.7188,11.5799
