model,MASE,CRPS,MAE,RMSE
TiRex,1.1158,0.369,0.961,2.7673
visiontspp_base,1.1184,0.382,0.984,2.7946
moirai2,1.1236,0.364,0.9804,2.8051
TimesFM-2.5,1.1255,0.3612,0.9701,2.7788
chronos2_base,1.1408,0.3855,1.0004,2.8052
sundial_base,1.1461,0.4773,1.0299,2.7213
moirai_base,1.1489,0.4005,0.9908,2.8168
chronos_bolt_base,1.1519,0.3872,0.9955,2.8435
kairos,1.2037,0.5267,1.0596,2.8595
TimesFM-2.0,1.2457,0.4151,0.9823,2.7846
auto_ets,1.3345,0.7793,1.3358,2.975
patchtst,1.3691,0.4049,0.989,2.8203
seasonal_naive,1.4236,1.043,1.4284,3.7019
TimesFM-1.0,1.4292,0.3899,0.9975,2.7882
deepar,1.4626,0.4529,1.0108,2.8442
dlinear,3.1786,0.5793,1.1216,2.7538
lightgbm,4.3892,0.4768,1.0153,2.8069
