model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.7966,0.1917,0.0548,0.0908
TimesFM-2.5,0.8053,0.1936,0.0554,0.0921
TiRex,0.8058,0.1964,0.0561,0.0931
sundial_base,0.8143,0.2127,0.0563,0.092
TimesFM-2.0,0.8162,0.1979,0.0561,0.0928
moirai2,0.8176,0.1963,0.0563,0.0928
dlinear,0.8224,0.205,0.0567,0.0909
chronos2_base,0.823,0.1978,0.0571,0.0954
chronos_bolt_base,0.8259,0.199,0.0571,0.0994
TimesFM-1.0,0.831,0.2039,0.0577,0.095
patchtst,0.8456,0.2062,0.0577,0.0924
moirai_base,0.8493,0.2062,0.0584,0.0955
deepar,0.8968,0.2189,0.0608,0.0954
lightgbm,0.9137,0.2236,0.0626,0.0966
auto_ets,0.9259,0.2296,0.0639,0.0997
kairos,0.9988,0.2401,0.0676,0.1044
seasonal_naive,1.0679,0.2772,0.0745,0.1206
