model,MASE,CRPS,MAE,RMSE
TiRex,1.2411,2.239,1.3905,4.6975
visiontspp_base,1.2463,2.5548,1.4449,4.75
TimesFM-2.5,1.2488,1.8708,1.4109,4.7032
moirai2,1.2544,1.8346,1.4187,4.7465
chronos2_base,1.2588,2.3582,1.4618,4.8616
chronos_bolt_base,1.2631,2.6726,1.4506,4.8547
moirai_base,1.2703,2.1797,1.4454,4.8038
sundial_base,1.2805,4.8651,1.5193,4.6391
patchtst,1.3065,1.2619,1.4624,4.987
lightgbm,1.3163,3.2585,1.4851,4.8206
TimesFM-2.0,1.3182,2.7053,1.4316,4.7286
kairos,1.3632,4.2472,1.6117,4.925
deepar,1.3642,0.7531,1.5122,4.9012
TimesFM-1.0,1.4186,2.9853,1.4636,4.7517
dlinear,1.4244,3.0468,1.6615,4.9398
auto_ets,1.4663,11.4132,2.0,5.1077
seasonal_naive,1.5381,16.0548,2.0599,6.2438
