model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8508,0.266,9.3498,14.2366
chronos_bolt_base,0.8669,0.2734,9.5991,14.6379
TimesFM-2.5,0.8683,0.2699,9.5247,14.4222
moirai2,0.8685,0.2704,9.5532,14.5262
chronos2_base,0.869,0.2712,9.6182,14.7003
TimesFM-2.0,0.8718,0.2718,9.5517,14.4977
TiRex,0.8723,0.2741,9.6286,14.6021
sundial_base,0.88,0.2997,9.6786,14.4054
moirai_base,0.8812,0.2781,9.7046,14.625
TimesFM-1.0,0.8953,0.2864,9.8791,14.8711
patchtst,0.8993,0.2882,9.798,14.2044
deepar,0.9074,0.2959,9.8621,14.5161
lightgbm,0.9113,0.2846,9.9901,15.0076
dlinear,0.9317,0.2989,10.2054,14.8442
auto_ets,0.9776,0.3215,10.8688,15.7756
seasonal_naive,1.0652,0.369,11.9852,18.185
kairos,1.1896,0.3745,12.6191,17.8018
