model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.9116,0.1775,2.9349,7.3564
TiRex,0.9164,0.1783,2.9485,7.3934
moirai2,0.9222,0.1795,2.9725,7.4098
chronos2_base,0.9246,0.1813,2.9853,7.3655
TimesFM-2.5,0.9251,0.179,2.9733,7.4304
patchtst,0.9277,0.1811,2.967,7.4174
chronos_bolt_base,0.9344,0.1839,3.0252,7.416
TimesFM-2.0,0.937,0.1816,2.9984,7.4918
sundial_base,0.9383,0.2021,3.1036,7.2568
moirai_base,0.9414,0.1834,3.0147,7.5182
TimesFM-1.0,0.9511,0.187,3.0541,7.5036
lightgbm,0.9586,0.1908,3.0566,7.3101
dlinear,0.9927,0.2038,3.2747,7.258
deepar,0.9955,0.1905,3.1216,7.6237
kairos,1.0302,0.2018,3.2697,7.6795
auto_ets,1.0922,0.253,3.8005,7.758
seasonal_naive,1.1596,0.3021,3.9892,9.3433
