model,CO,NO2,Ozone,PM10,PM2.5,SO2
visiontspp_base,0.7825,0.7736,0.7954,0.7602,0.7536,0.7949
TiRex,0.7883,0.7883,0.7882,0.7692,0.7589,0.7932
TimesFM-2.5,0.7897,0.7828,0.794,0.7665,0.7574,0.7986
moirai2,0.7973,0.7883,0.8172,0.7737,0.7643,0.8012
chronos2_base,0.8015,0.7889,0.8016,0.777,0.7708,0.8076
chronos_bolt_base,0.8077,0.7859,0.8052,0.7842,0.7801,0.8123
sundial_base,0.8015,0.7981,0.8077,0.783,0.777,0.8097
TimesFM-2.0,0.8037,0.7931,0.8152,0.7813,0.7729,0.8265
moirai_base,0.8256,0.8054,0.8416,0.7876,0.7785,0.816
patchtst,0.82,0.8317,0.8374,0.8312,0.7825,0.8484
TimesFM-1.0,0.8208,0.8126,0.8733,0.7976,0.7935,0.8605
dlinear,0.8693,0.8602,0.8788,0.831,0.7881,1.0351
auto_ets,0.9,0.8939,0.9081,0.8688,0.8566,0.9306
deepar,0.9164,0.9257,0.9669,0.8345,0.8071,0.9188
lightgbm,0.891,0.872,0.8804,0.8626,0.847,1.0325
seasonal_naive,1.0,1.0,1.0,1.0,1.0,1.0
kairos,0.9856,1.0424,1.3734,0.9027,0.9045,0.8795
