model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.7881,0.1983,0.0465,0.0849
TiRex,0.7932,0.2003,0.0467,0.085
patchtst,0.7951,0.1939,0.0472,0.0913
TimesFM-2.5,0.798,0.2003,0.0473,0.0857
moirai2,0.7988,0.2011,0.0473,0.0854
TimesFM-2.0,0.8168,0.2068,0.0482,0.087
sundial_base,0.821,0.2241,0.0492,0.0881
chronos2_base,0.8234,0.2082,0.0491,0.0886
TimesFM-1.0,0.8306,0.209,0.0488,0.0858
chronos_bolt_base,0.838,0.2113,0.05,0.0914
moirai_base,0.8451,0.2155,0.0502,0.091
dlinear,0.8928,0.2312,0.0545,0.0953
deepar,0.896,0.2297,0.0546,0.1005
kairos,0.9203,0.2376,0.0558,0.0982
auto_ets,0.9436,0.2508,0.0571,0.0967
lightgbm,1.0031,0.2411,0.0588,0.1048
seasonal_naive,1.0884,0.3096,0.0667,0.1222
