model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8096,0.3655,6.9823,10.3312
patchtst,0.81,0.3659,6.9623,10.1952
chronos_bolt_base,0.8185,0.3759,7.0657,10.3975
TimesFM-2.5,0.8194,0.3651,7.0776,10.4602
dlinear,0.8213,0.3779,7.0602,10.231
TimesFM-2.0,0.8249,0.369,7.1083,10.5695
TiRex,0.8253,0.3745,7.1525,10.5737
moirai2,0.8281,0.37,7.1426,10.5004
sundial_base,0.8299,0.4209,7.1804,10.4522
chronos2_base,0.831,0.3774,7.1901,10.6231
TimesFM-1.0,0.8397,0.3838,7.2434,10.708
lightgbm,0.8432,0.3851,7.2697,10.6906
deepar,0.8443,0.3596,7.211,10.8896
moirai_base,0.8448,0.383,7.3108,10.6783
auto_ets,0.934,0.4577,8.0607,11.29
kairos,1.0101,0.4558,8.9395,12.4939
seasonal_naive,1.0645,0.546,9.231,13.235
