model,MASE,CRPS,MAE,RMSE
patchtst,0.8074,0.3359,4.735,7.5723
visiontspp_base,0.8095,0.3333,4.7487,7.7095
TimesFM-2.5,0.8097,0.3286,4.7413,7.7316
TiRex,0.8146,0.3357,4.7899,7.8055
dlinear,0.8164,0.3472,4.8705,7.7032
TimesFM-2.0,0.8213,0.3412,4.8364,7.8093
sundial_base,0.8213,0.3692,4.8592,7.812
moirai2,0.8216,0.3312,4.8138,7.8171
deepar,0.8221,0.339,4.8345,7.8879
chronos2_base,0.8251,0.3393,4.8485,7.841
moirai_base,0.8309,0.3472,4.8974,7.9329
chronos_bolt_base,0.8384,0.3464,4.9298,7.993
TimesFM-1.0,0.848,0.3557,5.0174,8.0291
lightgbm,0.876,0.3488,5.1322,8.2759
kairos,0.8846,0.3728,5.2643,8.2661
auto_ets,0.911,0.401,5.4339,8.4467
seasonal_naive,1.0797,0.4952,6.4619,10.1423
