model,MASE,CRPS,MAE,RMSE
TimesFM-2.5,0.8147,0.3542,3.0576,4.9987
visiontspp_base,0.8172,0.3583,3.0673,5.0076
TiRex,0.8182,0.358,3.0796,5.0261
moirai2,0.8215,0.354,3.0839,5.0447
patchtst,0.8249,0.3584,3.0853,4.9797
TimesFM-2.0,0.8249,0.3667,3.1119,5.048
sundial_base,0.8338,0.4019,3.1689,5.1055
chronos2_base,0.8358,0.3652,3.1436,5.1196
deepar,0.8433,0.3827,3.2069,5.204
moirai_base,0.8437,0.3772,3.1929,5.243
dlinear,0.8541,0.3997,3.2966,5.114
chronos_bolt_base,0.8543,0.3743,3.2112,5.2594
TimesFM-1.0,0.8664,0.3924,3.2906,5.2796
lightgbm,0.91,0.3798,3.4233,5.6506
kairos,0.9168,0.4204,3.5302,5.5587
auto_ets,0.9324,0.4395,3.5604,5.6117
seasonal_naive,1.1044,0.5559,4.2498,6.7217
