model,MASE,CRPS,MAE,RMSE
deepar,0.8408,0.4533,0.3274,0.8674
patchtst,0.8517,0.4462,0.3297,0.8745
lightgbm,0.8537,0.4517,0.329,0.864
sundial_base,0.875,0.5371,0.3485,0.8608
dlinear,0.8766,0.4865,0.3497,0.8503
TiRex,0.8787,0.4808,0.3387,0.8541
visiontspp_base,0.8809,0.4878,0.3425,0.8551
TimesFM-2.5,0.8815,0.4699,0.3387,0.8542
moirai2,0.8918,0.4727,0.3427,0.8587
TimesFM-1.0,0.892,0.4815,0.3439,0.864
kairos,0.9034,0.4954,0.3494,0.8703
chronos_bolt_base,0.9044,0.5061,0.3545,0.8733
TimesFM-2.0,0.9057,0.4928,0.3467,0.859
moirai_base,0.9225,0.5038,0.3599,0.8835
chronos2_base,0.9481,0.5221,0.3782,0.9715
auto_ets,1.0473,0.6977,0.4522,1.0055
seasonal_naive,1.1694,0.8878,0.4907,1.1823
