model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8298,0.1758,0.1365,0.2125
TimesFM-2.5,0.836,0.1758,0.1373,0.2139
patchtst,0.8378,0.1761,0.1372,0.2113
TiRex,0.8383,0.1779,0.1385,0.2173
moirai2,0.8405,0.1765,0.1382,0.2149
chronos2_base,0.849,0.1789,0.1402,0.2198
sundial_base,0.8527,0.1943,0.1408,0.215
chronos_bolt_base,0.853,0.1803,0.1408,0.2208
moirai_base,0.8581,0.1825,0.1412,0.2198
TimesFM-2.0,0.8603,0.1818,0.1414,0.219
dlinear,0.8603,0.186,0.1416,0.2137
TimesFM-1.0,0.8847,0.1887,0.1455,0.2229
deepar,0.9037,0.1875,0.1489,0.235
lightgbm,0.9052,0.1898,0.1476,0.2246
auto_ets,0.9502,0.2103,0.1588,0.2338
kairos,1.0226,0.2197,0.1699,0.2505
seasonal_naive,1.072,0.2562,0.183,0.2822
