model,MASE,CRPS,MAE,RMSE
TiRex,0.827,0.2156,0.1907,0.3398
TimesFM-2.5,0.8271,0.2147,0.19,0.3352
visiontspp_base,0.8327,0.214,0.1906,0.3374
sundial_base,0.8364,0.241,0.193,0.3352
moirai2,0.839,0.2217,0.1929,0.3374
TimesFM-2.0,0.8428,0.2233,0.1939,0.3424
chronos2_base,0.8541,0.2199,0.1956,0.3504
TimesFM-1.0,0.8747,0.2339,0.2003,0.3486
chronos_bolt_base,0.8883,0.2261,0.2013,0.3722
moirai_base,0.8927,0.2367,0.2032,0.3525
patchtst,0.9042,0.2276,0.2011,0.3497
deepar,0.913,0.2255,0.2032,0.3517
lightgbm,0.9276,0.2594,0.2087,0.3516
dlinear,0.9482,0.255,0.2072,0.3476
auto_ets,0.9789,0.2891,0.2266,0.3719
seasonal_naive,1.0832,0.3515,0.2538,0.444
kairos,1.2886,0.3485,0.2895,0.462
