model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.848,0.4419,0.0906,0.1636
TiRex,0.8584,0.4445,0.0916,0.1662
chronos2_base,0.8651,0.4382,0.0925,0.1664
TimesFM-2.5,0.8653,0.4321,0.0916,0.1644
moirai2,0.8716,0.4264,0.0928,0.1665
chronos_bolt_base,0.8726,0.4409,0.093,0.1664
TimesFM-2.0,0.88,0.4343,0.0933,0.1677
patchtst,0.8801,0.4221,0.0935,0.1687
sundial_base,0.884,0.4772,0.0952,0.165
moirai_base,0.8924,0.4448,0.0951,0.1689
dlinear,0.9037,0.4646,0.0975,0.1649
lightgbm,0.9039,0.4513,0.0969,0.1699
TimesFM-1.0,0.9072,0.5095,0.0964,0.1699
deepar,0.9523,0.4836,0.1003,0.1735
auto_ets,1.0184,0.4944,0.1129,0.1822
seasonal_naive,1.0857,0.543,0.1221,0.2177
kairos,1.1208,0.5678,0.1204,0.1989
