model,MASE,CRPS,MAE,RMSE
TimesFM-2.5,0.8012,0.3114,2.6004,5.0165
TiRex,0.8033,0.3147,2.6132,5.0291
visiontspp_base,0.8051,0.3174,2.6215,5.0719
moirai2,0.8097,0.3138,2.6344,5.1001
TimesFM-2.0,0.818,0.3253,2.6683,5.1043
chronos2_base,0.8212,0.3236,2.6932,5.2834
sundial_base,0.8241,0.358,2.6972,5.0744
patchtst,0.8262,0.3368,2.6835,5.0612
deepar,0.8312,0.3333,2.7147,5.1803
moirai_base,0.8326,0.3338,2.7349,5.301
chronos_bolt_base,0.8403,0.331,2.7857,6.0434
dlinear,0.8447,0.3355,2.7506,5.087
TimesFM-1.0,0.847,0.3417,2.774,5.225
lightgbm,0.8751,0.3677,2.8654,5.2832
kairos,0.9354,0.3881,3.0966,5.527
auto_ets,0.9454,0.4193,3.1744,5.804
seasonal_naive,1.112,0.536,3.7485,6.9488
